,Date,Price
854,2012-11-17,11.79
855,2012-11-18,11.65
856,2012-11-19,11.8
857,2012-11-20,11.73
858,2012-11-21,11.77
859,2012-11-22,12.42
860,2012-11-23,12.35
861,2012-11-24,12.41
862,2012-11-25,12.48
863,2012-11-26,12.25
864,2012-11-27,12.2
865,2012-11-28,12.35
866,2012-11-29,12.45
867,2012-11-30,12.57
868,2012-12-01,12.56
869,2012-12-02,12.5
870,2012-12-03,12.68
871,2012-12-04,13.41
872,2012-12-05,13.38
873,2012-12-06,13.3
874,2012-12-07,13.5
875,2012-12-08,13.42
876,2012-12-09,13.39
877,2012-12-10,13.43
878,2012-12-11,13.56
879,2012-12-12,13.7
880,2012-12-13,13.7
881,2012-12-14,13.6
882,2012-12-15,13.49
883,2012-12-16,13.3
884,2012-12-17,13.25
885,2012-12-18,13.3
886,2012-12-19,13.6
887,2012-12-20,13.52
888,2012-12-21,13.5
889,2012-12-22,13.37
890,2012-12-23,13.31
891,2012-12-24,13.38
892,2012-12-25,13.35
893,2012-12-26,13.47
894,2012-12-27,13.42
895,2012-12-28,13.42
896,2012-12-29,13.4
897,2012-12-30,13.45
898,2012-12-31,13.51
899,2013-01-01,13.3
900,2013-01-02,13.28
901,2013-01-03,13.4
902,2013-01-04,13.5
903,2013-01-05,13.44
904,2013-01-06,13.45
905,2013-01-07,13.59
906,2013-01-08,13.74
907,2013-01-09,13.77
908,2013-01-10,14.14
909,2013-01-11,14.14
910,2013-01-12,14.24
911,2013-01-13,14.12
912,2013-01-14,14.3
913,2013-01-15,14.25
914,2013-01-16,14.73
915,2013-01-17,15.5
916,2013-01-18,15.7
917,2013-01-19,15.62
918,2013-01-20,15.7
919,2013-01-21,16.799999
920,2013-01-22,17.26
921,2013-01-23,17.5
922,2013-01-24,16.9
923,2013-01-25,17.4
924,2013-01-26,17.879998999999994
925,2013-01-27,17.82
926,2013-01-28,18.719999
927,2013-01-29,19.530001
928,2013-01-30,19.700001
929,2013-01-31,20.41
930,2013-02-01,20.5
931,2013-02-02,19.629999
932,2013-02-03,20.59
933,2013-02-04,20.43
934,2013-02-05,20.6
935,2013-02-06,21.18
936,2013-02-07,22.15
937,2013-02-08,22.66
938,2013-02-09,23.65
939,2013-02-10,23.969999
940,2013-02-11,24.65
941,2013-02-12,25.17
942,2013-02-13,24.200001
943,2013-02-14,27.219999
944,2013-02-15,27.1
945,2013-02-16,27.219999
946,2013-02-17,26.809999
947,2013-02-18,26.950001
948,2013-02-19,29.42
949,2013-02-20,29.65
950,2013-02-21,29.75
951,2013-02-22,30.25
952,2013-02-23,29.799999
953,2013-02-24,29.889999
954,2013-02-25,30.4
955,2013-02-26,31.1
956,2013-02-27,30.9
957,2013-02-28,33.380001
958,2013-03-01,34.5
959,2013-03-02,34.25
960,2013-03-03,34.5
961,2013-03-04,36.150002
962,2013-03-05,40.330002
963,2013-03-06,41.02
964,2013-03-07,42.0
965,2013-03-08,44.18
966,2013-03-09,46.849998
967,2013-03-10,46.0
968,2013-03-11,48.400002
969,2013-03-12,44.290001
970,2013-03-13,46.919998
971,2013-03-14,47.169998
972,2013-03-15,46.950001
973,2013-03-16,47.0
974,2013-03-17,47.400002
975,2013-03-18,51.599998
976,2013-03-19,59.139999
977,2013-03-20,64.489998
978,2013-03-21,70.849998
979,2013-03-22,69.870003
980,2013-03-23,64.349998
981,2013-03-24,71.5
982,2013-03-25,73.599998
983,2013-03-26,78.5
984,2013-03-27,88.91999799999998
985,2013-03-28,86.18
986,2013-03-29,90.5
987,2013-03-30,92.190002
988,2013-03-31,93.029999
989,2013-03-31,104.0
990,2013-04-01,117.980003
991,2013-04-02,135.0
992,2013-04-03,132.119995
993,2013-04-04,142.320007
994,2013-04-05,142.630005
995,2013-04-06,162.300003
996,2013-04-07,187.5
997,2013-04-08,230.0
998,2013-04-09,165.0
999,2013-04-10,124.900002
1000,2013-04-11,117.0
1001,2013-04-12,93.0
1002,2013-04-13,90.0
1003,2013-04-14,82.389999
1004,2013-04-15,68.360001
1005,2013-04-16,93.07
1006,2013-04-17,109.010002
1007,2013-04-18,118.480003
1008,2013-04-19,126.620003
1009,2013-04-20,119.199997
1010,2013-04-21,127.400002
1011,2013-04-22,143.479996
1012,2013-04-23,154.199997
1013,2013-04-24,141.71000700000005
1014,2013-04-25,136.899994
1015,2013-04-26,128.0
1016,2013-04-27,134.440002
1017,2013-04-28,144.0
1018,2013-04-29,139.229996
1019,2013-04-30,116.379997
1020,2013-05-01,106.25
1021,2013-05-02,98.099998
1022,2013-05-03,112.900002
1023,2013-05-04,115.980003
1024,2013-05-05,112.25
1025,2013-05-06,109.599998
1026,2013-05-07,113.199997
1027,2013-05-08,112.800003
1028,2013-05-09,117.699997
1029,2013-05-10,115.639999
1030,2013-05-11,114.82
1031,2013-05-12,117.980003
1032,2013-05-13,111.400002
1033,2013-05-14,114.220001
1034,2013-05-15,118.209999
1035,2013-05-16,123.5
1036,2013-05-17,123.209999
1037,2013-05-18,122.5
1038,2013-05-19,122.019997
1039,2013-05-20,122.889999
1040,2013-05-21,123.800003
1041,2013-05-22,126.300003
1042,2013-05-23,133.100006
1043,2013-05-24,131.990005
